pid,hid,avg_rec
31104,108340,2.3333333333333335
31802,3182,3.0
31901,3190,2.2222222222222223
31902,3190,2.5555555555555554
32001,3204,1.0
32002,3204,1.6666666666666667
32004,122840,1.4444444444444444
32103,109690,3.5555555555555554
32301,3239,4.444444444444445
32302,3239,4.666666666666667
32501,3255,1.0
32502,3255,1.0
32801,3280,5.0
32802,3280,4.666666666666667
33001,3301,3.888888888888889
33302,61760,5.0
33401,3344,3.0
33402,3344,2.6666666666666665
33602,3360,1.0
33603,82678,5.444444444444445
34001,3409,3.0
34002,3409,6.666666666666667
34101,3417,4.666666666666667
34102,3417,1.6666666666666667
34501,3450,1.0
34502,3450,2.6666666666666665
34903,60372,1.0
35405,70017,5.333333333333333
35602,3565,2.0
35603,116017,2.6666666666666665
35604,3565,2.0
35701,3573,3.3333333333333335
35702,3573,3.2222222222222223
35703,126250,4.222222222222222
35704,95338,3.5555555555555554
35801,3581,5.0
35802,3581,2.3333333333333335
35803,126284,3.3333333333333335
35804,3581,3.3333333333333335
35901,3590,1.0
35905,3590,1.0
36001,3603,1.0
36401,3646,7.0
36701,105031,3.0
36901,3697,6.0
36902,3697,4.0
36903,114138,3.3333333333333335
37501,3751,4.444444444444445
37502,79359,3.6666666666666665
37903,115185,3.0
39201,3921,4.0
39202,3921,4.0
39203,3921,2.0
39301,3930,1.0
39601,3964,1.5555555555555556
40001,4006,4.0
40401,4049,2.111111111111111
40501,4057,4.0
40502,4057,1.0
41202,4120,2.0
41204,95540,1.8888888888888888
41301,4138,2.2222222222222223
41601,4162,4.333333333333333
41602,4162,3.0
41603,4162,3.0
41701,4170,2.5555555555555554
41802,4189,1.8888888888888888
41901,4197,5.111111111111111
41903,126217,4.666666666666667
41904,114499,2.3333333333333335
41905,95451,2.5555555555555554
41906,126381,2.3333333333333335
42801,4286,1.6666666666666667
43301,4332,2.0
43701,4375,2.4444444444444446
43702,113298,3.0
43703,123269,2.2222222222222223
43704,113298,3.0
43802,4383,2.0
44001,80217,4.111111111111111
44002,4405,2.2222222222222223
